structure,cluster
..\10_XTB\00_Alanine_zwitterion\case_001\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_002\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_003\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_004\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_007\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_008\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_009\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_010\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_011\xtbopt.xyz,-1
..\10_XTB\00_Alanine_zwitterion\case_012\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_014\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_016\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_019\xtbopt.xyz,-1
..\10_XTB\00_Alanine_zwitterion\case_020\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_021\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_023\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_024\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_026\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_028\xtbopt.xyz,-1
..\10_XTB\00_Alanine_zwitterion\case_029\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_030\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_032\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_033\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_034\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_035\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_038\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_039\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_040\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_042\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_044\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_045\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_046\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_047\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_048\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_049\xtbopt.xyz,-1
..\10_XTB\00_Alanine_zwitterion\case_050\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_053\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_054\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_055\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_056\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_057\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_058\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_059\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_062\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_063\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_065\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_066\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_067\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_070\xtbopt.xyz,0
